x,n=5,n=10,n=15,n=20
-2.3559702999803562,0.0014047364580170336,1.147195605177842E-11,1.2612133559741777E-16,1.2612133559741777E-16
-2.351868199980231,0.0013806879416747952,1.1079806183644791E-11,1.206812427767545E-16,1.206812427767545E-16
-2.347766099980106,0.0013570095883130102,1.0700409891484242E-11,1.2378986724570495E-16,1.2378986724570495E-16
-2.343663999979981,0.0013336963452608979,1.0333371602833096E-11,1.2223555501122973E-16,1.2223555501122973E-16
-2.3395618999798558,0.0013107432199106052,9.978318504799687E-12,1.2212453270876723E-16,1.2212453270876723E-16
-2.3354597999797306,0.0012881452791108782,9.634866904306704E-12,1.2112533198660458E-16,1.2112533198660458E-16
-2.3313576999796055,0.0012658976485655064,9.302670078703556E-12,1.191269305422793E-16,1.191269305422793E-16
-2.3272555999794804,0.0012439955122370088,8.981359878035278E-12,1.2156942119645464E-16,1.2156942119645464E-16
-2.3231534999793553,0.0012224341117550407,8.670614115580121E-12,1.1979306435705439E-16,1.1979306435705439E-16
-2.31905139997923,0.0012012087458298545,8.370100501586819E-12,1.2534417948018017E-16,1.2534417948018017E-16
-2.314949299979105,0.0011803147696706224,8.079487967549426E-12,1.2523315717771765E-16,1.2523315717771765E-16
-2.31084719997898,0.0011597475944085146,7.79849873566718E-12,1.1268763699945338E-16,1.1268763699945338E-16
-2.306745099978855,0.0011395026865247983,7.526794743029086E-12,1.191269305422793E-16,1.191269305422793E-16
-2.3026429999787297,0.00111957556728348,7.264090329250905E-12,1.2601031329495527E-16,1.2601031329495527E-16
-2.2985408999786046,0.0010999618121689066,7.0101239257880364E-12,1.147970607462412E-16,1.147970607462412E-16
-2.2944387999784794,0.0010806570503279942,6.764591553576338E-12,1.2800871473928055E-16,1.2800871473928055E-16
-2.2903366999783543,0.001061656964017193,6.527250961951836E-12,1.2168044349891717E-16,1.2168044349891717E-16
-2.286234599978229,0.0010429572880541044,6.297827481738238E-12,1.1612932837579138E-16,1.1612932837579138E-16
-2.282132499978104,0.0010245538092737343,6.076086633832745E-12,1.141309269314661E-16,1.141309269314661E-16
-2.278030399977979,0.0010064423659893688,5.861765850490031E-12,1.1723955140041654E-16,1.1723955140041654E-16
-2.273928299977854,9.886188474580084E-4,5.654637424967746E-12,1.270095140171179E-16,1.270095140171179E-16
-2.2698261999777287,9.710791933503591E-4,5.454480422883989E-12,1.2234657731369226E-16,1.2234657731369226E-16
-2.2657240999776036,9.538193932253415E-4,5.261066360340294E-12,1.2734258092450546E-16,1.2734258092450546E-16
-2.2616219999774785,9.368354860091155E-4,5.07417297068713E-12,1.2378986724570495E-16,1.2378986724570495E-16
-2.2575198999773534,9.201235594784772E-4,4.893594529598033E-12,1.20570220474292E-16,1.20570220474292E-16
-2.2534177999772282,9.036797497487723E-4,4.719129642616338E-12,1.226796442210798E-16,1.226796442210798E-16
-2.249315699977103,8.875002407661876E-4,4.550588794671739E-12,1.2312373343092986E-16,1.2312373343092986E-16
-2.245213599976978,8.71581263804394E-4,4.387771812552899E-12,1.1790568521519163E-16,1.1790568521519163E-16
-2.241111499976853,8.559190969655191E-4,4.230507388847116E-12,1.2223555501122973E-16,1.2223555501122973E-16
-2.2370093999767278,8.405100646855095E-4,4.0785975707891E-12,1.255662240851052E-16,1.255662240851052E-16
-2.2329072999766026,8.25350537243655E-4,3.931885039776261E-12,1.2678746941219287E-16,1.2678746941219287E-16
-2.2288051999764775,8.104369302764853E-4,3.790192049102359E-12,1.2501111257279261E-16,1.2501111257279261E-16
-2.2247030999763524,7.957657042958089E-4,3.6533549518935614E-12,1.1790568521519163E-16,1.1790568521519163E-16
-2.2206009999762273,7.813333642109947E-4,3.5212210924839838E-12,1.2079226507921704E-16,1.2079226507921704E-16
-2.216498899976102,7.671364588554254E-4,3.3936310428472894E-12,1.1735057370287904E-16,1.1735057370287904E-16
-2.212396799975977,7.531715805170557E-4,3.270445914083098E-12,1.1968204205459188E-16,1.1968204205459188E-16
-2.208294699975852,7.394353644731343E-4,3.15151471586006E-12,1.1313172620930344E-16,1.1313172620930344E-16
-2.204192599975727,7.259244885289629E-4,3.0366953396310236E-12,1.2112533198660458E-16,1.2112533198660458E-16
-2.2000904999756017,7.12635672560752E-4,2.9258681033539347E-12,1.1568523916594132E-16,1.1568523916594132E-16
-2.1959883999754766,6.995656780625021E-4,2.8188712475341047E-12,1.1923795284474182E-16,1.1923795284474182E-16
-2.1918862999753514,6.867113076968423E-4,2.7155981907611705E-12,1.127986593019159E-16,1.127986593019159E-16
-2.1877841999752263,6.74069404849911E-4,2.6159356902866194E-12,1.0758061108617767E-16,1.0758061108617767E-16
-2.183682099975101,6.616368531901702E-4,2.5197574027302492E-12,1.129096816043784E-16,1.129096816043784E-16
-2.179579999974976,6.494105762310975E-4,2.4269336540427844E-12,1.135758154191535E-16,1.135758154191535E-16
-2.175477899974851,6.37387536897799E-4,2.337379401140538E-12,1.1246559239452835E-16,1.1246559239452835E-16
-2.171375799974726,6.255647370975511E-4,2.2509535346770804E-12,1.1579626146840382E-16,1.1579626146840382E-16
-2.1672736999746007,6.139392172940406E-4,2.1675814476651567E-12,1.1191048088221578E-16,1.1191048088221578E-16
-2.1631715999744756,6.02508056085582E-4,2.0871381289921942E-12,1.1435297153639113E-16,1.1435297153639113E-16
-2.1590694999743505,5.912683697870011E-4,2.0095339836601057E-12,1.1757261830780407E-16,1.1757261830780407E-16
-2.1549673999742254,5.802173120153369E-4,1.9346961810384755E-12,1.2523315717771765E-16,1.2523315717771765E-16
-2.1508652999741003,5.693520732793111E-4,1.862483833825479E-12,1.127986593019159E-16,1.127986593019159E-16
-2.146763199973975,5.586698805723927E-4,1.7928392104238354E-12,1.1390888232654106E-16,1.1390888232654106E-16
-2.14266109997385,5.481679969696498E-4,1.7256915896268764E-12,1.1601830607332885E-16,1.1601830607332885E-16
-2.138558999973725,5.378437212282704E-4,1.6609281727753E-12,1.1335377081422847E-16,1.1335377081422847E-16
-2.1344568999735998,5.276943873916307E-4,1.5984727985696169E-12,1.1124434706744069E-16,1.1124434706744069E-16
